34,50,50,50,50,50,50,50,50,50,50,2,66,50,50,50,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20,
33,89,0,0,0,0,0,0,0,0,0,33,73,0,0,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,33,
33,0,17,0,1,50,50,50,50,20,0,49,50,2,50,50,51,0,34,50,66,20,0,1,2,50,50,50,66,50,50,20,0,33,
33,0,33,0,0,0,40,0,0,33,0,0,0,33,0,0,0,0,33,0,73,18,0,0,33,0,0,0,73,0,5,33,0,33,
33,0,33,0,17,0,0,0,0,33,0,17,0,33,0,17,0,0,33,0,0,0,0,0,18,0,17,0,40,0,0,33,0,33,
33,0,33,0,49,66,2,50,50,51,0,33,0,33,0,49,20,0,33,0,1,20,0,0,0,0,33,0,0,0,0,33,0,33,
33,0,33,0,0,73,18,0,0,0,0,33,0,18,0,40,33,0,33,0,0,49,50,50,50,50,19,50,3,0,1,51,0,33,
33,0,33,37,38,0,0,0,17,37,38,33,0,0,0,34,51,0,49,20,0,0,0,0,0,0,33,0,0,0,0,0,0,33,
33,0,49,50,50,3,0,1,35,50,50,35,50,20,0,18,90,0,90,49,50,50,50,2,3,0,33,0,1,3,0,17,0,33,
33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,33,0,0,0,0,33,0,33,
33,0,34,50,50,50,50,50,50,50,20,0,34,35,50,20,90,0,90,17,0,17,0,33,0,1,19,50,50,3,0,33,0,33,
33,0,33,0,0,0,0,0,0,0,33,0,33,0,0,49,20,0,34,51,0,33,0,33,0,5,33,0,0,0,0,33,0,33,
33,0,33,0,17,0,37,38,0,0,33,0,18,0,0,0,18,0,33,0,0,33,0,33,0,0,33,0,37,38,0,33,0,33,
33,0,33,0,33,0,0,0,5,0,18,0,0,0,17,0,0,0,33,0,34,51,0,49,20,0,33,0,0,0,0,33,0,33,
33,0,33,0,49,50,50,50,20,0,0,0,1,66,19,3,0,1,51,0,33,0,0,0,18,0,49,66,50,3,0,33,0,33,
33,0,33,0,0,0,0,0,33,0,17,0,0,73,19,0,0,0,0,0,33,0,17,0,0,0,0,73,0,0,0,33,0,33,
33,0,49,50,50,50,3,0,18,0,49,50,50,50,35,50,50,50,50,50,51,0,49,50,3,0,1,50,50,50,50,51,0,33,
33,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,33,
49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51
